ex_id,mus_id
00102,001
00101,001
00103,001
00105,001
00114,001
00113,001
00107,001
00110,001
00108,001
00112,001
00111,001
00115,001
00104,001
00106,001
00109,001
00203,002
00204,002
00201,002
00213,002
00210,002
00209,002
00212,002
00211,002
00207,002
00202,002
00208,002
00206,002
00214,002
00205,002
00215,002
00306,003
00323,003
00326,003
00331,003
00312,003
00309,003
00320,003
00311,003
00317,003
00303,003
00305,003
00327,003
00332,003
00330,003
00328,003
00314,003
00322,003
00334,003
00329,003
00315,003
00307,003
00313,003
00321,003
00308,003
00324,003
00310,003
00302,003
00301,003
00316,003
00304,003
00333,003
00318,003
00325,003
00319,003
00421,004
00415,004
00405,004
00404,004
00411,004
00406,004
00414,004
00402,004
00407,004
00413,004
00416,004
00401,004
00412,004
00403,004
00409,004
00419,004
00418,004
00408,004
00410,004
00420,004
00417,004
00502,005
00504,005
00506,005
00505,005
00507,005
00501,005
00503,005
00508,005
00601,006
00603,006
00602,006
00604,006
00605,006